source_file,property_number,date,line_item,amount
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Rental Income (4000),62702.24
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Rental Income (4000),64962.77
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Rental Income (4000),67549.46
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Rental Income (4000),69671.46
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Rental Income (4000),72290.71
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Rental Income (4000),75511.36
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Rental Income (4000),77391.06
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Rental Income (4000),76194.3
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Rental Income (4000),77868.55
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Rental Income (4000),78009.87
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Rental Income (4000),77943.24
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Rental Income (4000),80353.07
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Rental Income (4000),81955.91
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Rental Refunds (4090),-165
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Rental Refunds (4090),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Rental Refunds (4090),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Rental Refunds (4090),-222.08
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Rental Refunds (4090),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Rental Refunds (4090),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Rental Refunds (4090),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Rental Refunds (4090),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Rental Refunds (4090),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Rental Refunds (4090),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Rental Refunds (4090),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Rental Refunds (4090),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Rental Refunds (4090),-155
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Discounts Charged (4250),-349.75
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Discounts Charged (4250),-573.64
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Discounts Charged (4250),-424.2
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Discounts Charged (4250),-566.14
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Discounts Charged (4250),-642.91
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Discounts Charged (4250),-978.27
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Discounts Charged (4250),-215.82
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Discounts Charged (4250),-351.89
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Discounts Charged (4250),-1567.91
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Discounts Charged (4250),-796.92
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Discounts Charged (4250),-298.22
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Discounts Charged (4250),-255.77
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Discounts Charged (4250),-547.03
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Bad Debt Expense (4990),-352.81
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Bad Debt Expense (4990),-350
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Bad Debt Expense (4990),-250.66
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Bad Debt Expense (4990),-1146.96
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Bad Debt Expense (4990),-287.5
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Bad Debt Expense (4990),-280.9
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Bad Debt Expense (4990),-757.32
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Bad Debt Expense (4990),-260.2
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Bad Debt Expense (4990),-129.5
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Bad Debt Expense (4990),-908.5
