run_id,property_name,property_number,managed_by,source_file,metric,month,year,period_date,value,extracted_at
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Rentals During Month,12,2024,2024-12-01,41,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Rentals During Month,1,2025,2025-01-01,43,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Rentals During Month,2,2025,2025-02-01,49,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Rentals During Month,3,2025,2025-03-01,36,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Rentals During Month,4,2025,2025-04-01,23,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Rentals During Month,5,2025,2025-05-01,32,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Rentals During Month,6,2025,2025-06-01,29,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Rentals During Month,7,2025,2025-07-01,36,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Rentals During Month,8,2025,2025-08-01,38,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Rentals During Month,9,2025,2025-09-01,25,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Rentals During Month,10,2025,2025-10-01,39,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Rentals During Month,11,2025,2025-11-01,21,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Rentals During Month,12,2025,2025-12-01,25,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Rentals During Month,1,2026,2026-01-01,28,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Rentals During Month,2,2026,2026-02-01,27,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Walk In Rentals,12,2024,2024-12-01,9,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Walk In Rentals,1,2025,2025-01-01,4,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Walk In Rentals,2,2025,2025-02-01,5,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Walk In Rentals,3,2025,2025-03-01,6,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Walk In Rentals,4,2025,2025-04-01,4,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Walk In Rentals,5,2025,2025-05-01,6,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Walk In Rentals,6,2025,2025-06-01,3,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Walk In Rentals,7,2025,2025-07-01,10,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Walk In Rentals,8,2025,2025-08-01,7,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Walk In Rentals,9,2025,2025-09-01,5,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Walk In Rentals,10,2025,2025-10-01,13,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Walk In Rentals,11,2025,2025-11-01,3,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Walk In Rentals,12,2025,2025-12-01,10,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Walk In Rentals,1,2026,2026-01-01,6,2026-03-27T10:12:30.781650
